Region,ISO_A3,Prevalence
South-East Asia,Bangladesh,"27.5"
South-East Asia,Bhutan,"19.7"
South-East Asia,India,"21.4"
South-East Asia,Indonesia,"21.0"
South-East Asia,Maldives,"6.2"
South-East Asia,Myanmar,"5.7"
South-East Asia,Nepal,"18.3"
South-East Asia,Sri Lanka,"15.8"
South-East Asia,Thailand,"2.1"
South-East Asia,Timor-Leste,"13.9"
Western Pacific,Australia,"0.4"
Western Pacific,Cambodia,"6.7"
Western Pacific,China,"12.9"
Western Pacific,Democratic People’s Republic of Korea,"0"
